rank,category,asin,brand,product_name,opportunity_score,recommendation,monthly_revenue,monthly_units,competition,review_count,trend_score,trend_direction,subscription_signal,integrity_score,integrity_label,price
1,teeth_whitening,B0FVRQ2QTL,Orrhomi,"Teeth Whitening Strips 7 Treatments, Enamel Safe for Sensitive Tooth, Whitens Te",71,STRONG OPPORTUNITY,"1,558",195,MEDIUM,515,54,Stable,YES (RPP 69),100,CLEAN (100),0.00
2,teeth_whitening,B082TPDTM2,Lumineux,Lumineux Teeth Whitening Strips - 21 Treatments (3 Months) - Peroxide Free - Ena,65,REJECT,"118,864","2,642",VERY HIGH,"62,574",64,Stable,YES (RPP 69),10,SUSPICIOUS (10),0.00
3,teeth_whitening,B0F4CQD54V,Pdoo,"Teeth Whitening Strip 22 Treatments - Whitening Strips for Sensitive People, Fas",60,REJECT,"4,923",197,VERY HIGH,"4,964",42,Declining,YES (RPP 69),10,SUSPICIOUS (10),0.00
4,teeth_whitening,B0CXYSDC2H,InoPro,"InoPro Teeth Whitening Strips 7 Treatments Kit - Sensitive Teeth Whitener, Perox",60,REJECT,"21,998","1,048",VERY HIGH,"7,309",26,Declining,YES (RPP 69),20,SUSPICIOUS (20),0.00
5,teeth_whitening,B07QC8LFQP,Zimba,Zimba Teeth Whitening Strips Vegan Whitening Strip Enamel Safe Teeth Whitening H,60,REJECT,"8,173",442,VERY HIGH,"15,891",37,Declining,YES (RPP 69),10,SUSPICIOUS (10),0.00
6,resistance_bands,B0BTWBXN3G,WIKDAY,WIKDAY Resistance Bands for Working Out Exercise Loop Bands Workout Bands Set fo,56,WORTH RESEARCH,"20,150","4,038",VERY HIGH,"3,898",50,Stable,NO,100,CLEAN (100),0.00
7,ice_cube_molds,B091MFVW9Y,Tvmania,"Ice Cube Trays Set of 2, Easy Release 15 Flexible Silicone Ice Cube Molds with R",54,REJECT,"22,230","1,483",VERY HIGH,"5,334",75,Rising,NO,10,SUSPICIOUS (10),0.00
8,teeth_whitening,B0FWC65QCN,SAKYPRORAL,"SAKYPRORAL Purple Whitening Strips, 90-Day Long-Lasting Results, Enamel Safe & L",53,REJECT,"7,078",236,MEDIUM,479,0,Declining,YES (RPP 69),10,SUSPICIOUS (10),0.00
9,reusable_straws,B0DCC4RWT3,XZESH,"XZESH Metal Straw Replacement for Owala Water Bottle 24 oz 32 oz Accessories, Wi",53,WORTH RESEARCH,"5,475",914,HIGH,993,50,Stable,NO,100,CLEAN (100),0.00
10,ice_cube_molds,B0D6QVBSZP,DclobTop,"3 Pack Ice Cube Trays with Lid for Freezer, Flexible Silicone Bottom for Easy Re",53,REJECT,"9,782","1,633",VERY HIGH,"4,063",75,Rising,NO,10,SUSPICIOUS (10),0.00
11,yoga_mats,B0D5CNRLVN,MIAOMIAO,"MIAOMIAO Non-Slip Hot Yoga Towel Set,Super Absorbent Microfiber in, 24.5"" x 72"" ",52,WORTH RESEARCH,"11,079",341,VERY LOW,4,50,Stable,NO,100,CLEAN (100),0.00
12,ice_cube_molds,B0GJSRZ6M6,DOQAUS,DOQAUS Ice Cube Tray with Lids - 2 Pack Stackable Silicone Ice Trays for Freezer,52,WORTH RESEARCH,"8,536","1,425",VERY HIGH,"46,423",50,Stable,NO,100,CLEAN (100),0.00
13,cooking_utensils,B0DXB36698,GZLT,"4 Pcs Silicone Jar Spatula Set - Long Handle Sourdough Scraper, Skinny Spatula f",51,WORTH RESEARCH,"7,410","1,180",MEDIUM,611,50,Stable,NO,100,CLEAN (100),0.00
14,yoga_mats,B092XNCFF7,Retrospec,"Retrospec Solana Yoga Mat 1"" Thick w/Nylon Strap for Men & Women - Non Slip Exer",51,REJECT,"236,661","5,918",VERY HIGH,"14,420",3,Declining,NO,10,SUSPICIOUS (10),39.99
15,reusable_straws,B0D2XN54BB,Piteno,"Piteno® 16-Pack Reusable Glass Straws, Clear Glass Drinking Straws, 10''x10MM, S",51,WORTH RESEARCH,"14,816","1,648",VERY HIGH,"4,065",50,Stable,NO,100,CLEAN (100),0.00
16,yoga_mats,B091FWPJCL,Retrospec,"Retrospec Solana Yoga Mat 1/2"" Thick w/Nylon Strap for Men & Women - Non Slip Ex",51,REJECT,"89,914","3,598",VERY HIGH,"8,794",3,Declining,NO,10,SUSPICIOUS (10),24.99
